Muestra,Sabor no sabor,Light,Empresa,Internacional,Saludable,Tamaño,Material,Ergonomico,Dulce,Refrescante,Económica,Kola Negra,De Frutas
87,15,2,7,1,6,1,12,5,4,13,11,9,1
88,15,2,7,1,6,1,12,5,1,11,8,5,2
89,8,7,15,11,0,10,11,10,7,10,3,4,2
90,12,8,4,13,10,1,12,5,6,3,6,10,6
91,15,2,7,1,6,1,12,5,7,10,3,4,11
92,4,5,9,9,15,1,12,5,5,2,77,3,6
93,9,4,7,6,1,3,2,0,1,11,8,5,11
94,9,4,7,6,1,1,12,5,5,2,77,3,6
95,10,4,8,6,4,1,12,5,7,8,11,5,6
96,9,3,15,0,15,1,12,5,4,13,11,9,6
97,9,3,15,0,15,1,12,5,6,3,6,10,11
98,9,4,7,6,1,3,2,0,7,10,0,4,2
99,9,4,7,6,1,1,12,5,7,10,0,4,6
100,10,4,8,6,4,3,2,0,5,2,77,3,1
101,9,4,7,6,1,1,12,5,7,8,11,5,6
102,10,4,8,6,4,10,11,10,4,13,11,9,6
103,9,3,15,0,15,1,12,5,3,3,2,0,11
104,15,2,7,1,6,1,12,5,7,10,0,4,2
105,10,4,8,6,4,10,11,10,6,3,6,10,2
106,8,7,15,11,0,3,2,0,7,10,0,4,2
107,8,7,15,11,0,1,12,5,6,3,6,10,1
108,10,4,8,6,4,3,2,0,7,10,0,4,2
109,10,4,8,6,4,1,12,5,3,3,2,0,6
110,15,2,7,1,6,1,12,5,3,3,2,0,2
111,12,8,4,13,10,10,11,10,3,3,2,0,11
112,10,4,8,6,4,10,11,10,6,3,6,10,2
113,9,4,7,6,1,1,12,5,6,3,6,10,2
114,10,4,8,6,4,1,12,5,1,11,8,5,11
115,9,4,7,6,1,10,11,10,3,3,2,0,2
116,9,3,15,0,15,1,12,5,7,10,3,4,2
117,9,3,15,0,15,10,11,10,7,10,0,4,6
118,4,5,9,9,15,10,11,10,4,13,11,9,6
119,9,4,7,6,1,10,11,10,7,10,0,4,6
120,8,7,15,11,0,1,12,5,7,10,0,4,6
121,10,4,8,6,4,3,2,0,4,13,11,9,11
122,4,5,9,9,15,10,11,10,7,8,11,5,1
123,10,4,8,6,4,10,11,10,5,2,77,3,6
124,8,7,15,11,0,1,12,5,7,8,11,5,2
125,4,5,9,9,15,1,12,5,4,13,11,9,2
126,12,8,4,13,10,10,11,10,7,8,11,5,1
127,4,5,9,9,15,1,12,5,7,10,3,4,11
128,12,8,4,13,10,10,11,10,5,2,77,3,11
129,4,5,9,9,15,10,11,10,7,10,0,4,11
130,12,8,4,13,10,10,11,10,7,10,3,4,11
131,9,4,7,6,1,1,12,5,1,11,8,5,1
132,15,2,7,1,6,3,2,0,4,13,11,9,11
133,10,4,8,6,4,3,2,0,7,10,0,4,1
134,12,8,4,13,10,3,2,0,1,11,8,5,6
135,9,3,15,0,15,10,11,10,7,8,11,5,2
136,8,7,15,11,0,1,12,5,4,13,11,9,2
137,15,2,7,1,6,1,12,5,6,3,6,10,11
138,15,2,7,1,6,3,2,0,7,10,3,4,6
139,9,3,15,0,15,10,11,10,5,2,77,3,11
140,8,7,15,11,0,3,2,0,3,3,2,0,11
141,9,3,15,0,15,3,2,0,7,10,3,4,6
142,15,2,7,1,6,10,11,10,7,10,0,4,2
143,15,2,7,1,6,10,11,10,4,13,11,9,11
144,10,4,8,6,4,10,11,10,7,8,11,5,2
145,12,8,4,13,10,3,2,0,4,13,11,9,6
146,9,4,7,6,1,1,12,5,7,8,11,5,2
147,4,5,9,9,15,10,11,10,4,13,11,9,2
148,15,2,7,1,6,10,11,10,5,2,77,3,2
149,4,5,9,9,15,10,11,10,4,13,11,9,6
150,10,4,8,6,4,10,11,10,5,2,77,3,2
151,4,5,9,9,15,1,12,5,6,3,6,10,6
152,15,2,7,1,6,3,2,0,7,8,11,5,2
153,12,8,4,13,10,10,11,10,6,3,6,10,1
154,12,8,4,13,10,1,12,5,7,10,3,4,1
155,10,4,8,6,4,10,11,10,3,3,2,0,11
156,10,4,8,6,4,1,12,5,7,10,3,4,2
157,9,3,15,0,15,1,12,5,4,13,11,9,1
158,4,5,9,9,15,10,11,10,7,10,0,4,1
159,4,5,9,9,15,10,11,10,7,8,11,5,11
160,4,5,9,9,15,3,2,0,3,3,2,0,6
161,9,4,7,6,1,1,12,5,7,10,0,4,11
162,15,2,7,1,6,3,2,0,7,10,0,4,1
163,4,5,9,9,15,3,2,0,5,2,77,3,1
164,8,7,15,11,0,3,2,0,7,8,11,5,6
165,10,4,8,6,4,1,12,5,7,10,3,4,2
166,10,4,8,6,4,3,2,0,4,13,11,9,11
167,8,7,15,11,0,1,12,5,6,3,6,10,11
168,8,7,15,11,0,3,2,0,7,10,0,4,11
169,9,3,15,0,15,10,11,10,5,2,77,3,2
170,15,2,7,1,6,10,11,10,5,2,77,3,2
171,4,5,9,9,15,10,11,10,7,10,0,4,1
172,10,4,8,6,4,10,11,10,6,3,6,10,2
173,9,3,15,0,15,1,12,5,5,2,77,3,11
174,8,7,15,11,0,1,12,5,1,11,8,5,1
175,8,7,15,11,0,10,11,10,7,10,3,4,6
176,9,4,7,6,1,1,12,5,7,10,3,4,6
177,10,4,8,6,4,1,12,5,7,10,3,4,2
178,15,2,7,1,6,1,12,5,4,13,11,9,11
179,10,4,8,6,4,10,11,10,7,10,0,4,1
180,15,2,7,1,6,10,11,10,7,10,0,4,2
181,15,2,7,1,6,10,11,10,7,10,3,4,6
182,15,2,7,1,6,3,2,0,6,3,6,10,1
183,10,4,8,6,4,3,2,0,1,11,8,5,1
184,15,2,7,1,6,10,11,10,6,3,6,10,11
185,8,7,15,11,0,3,2,0,6,3,6,10,6
186,9,3,15,0,15,3,2,0,7,10,0,4,11
187,8,7,15,11,0,3,2,0,7,10,0,4,11
188,8,7,15,11,0,10,11,10,4,13,11,9,1
189,8,7,15,11,0,10,11,10,4,13,11,9,11
190,4,5,9,9,15,10,11,10,7,8,11,5,2
191,12,8,4,13,10,10,11,10,3,3,2,0,11
192,15,2,7,1,6,10,11,10,6,3,6,10,6
193,15,2,7,1,6,3,2,0,7,8,11,5,2
194,9,4,7,6,1,1,12,5,4,13,11,9,6
195,4,5,9,9,15,1,12,5,3,3,2,0,2
196,15,2,7,1,6,1,12,5,5,2,77,3,11
197,4,5,9,9,15,3,2,0,6,3,6,10,11
198,8,7,15,11,0,3,2,0,7,10,3,4,1
199,15,2,7,1,6,10,11,10,5,2,77,3,2
200,9,4,7,6,1,3,2,0,6,3,6,10,11
201,12,8,4,13,10,3,2,0,7,8,11,5,6
202,9,4,7,6,1,3,2,0,5,2,77,3,2
203,9,3,15,0,15,3,2,0,7,10,3,4,11
204,12,8,4,13,10,1,12,5,3,3,2,0,1
205,15,2,7,1,6,1,12,5,5,2,77,3,6
206,15,2,7,1,6,3,2,0,5,2,77,3,11
207,15,2,7,1,6,3,2,0,7,10,0,4,6
208,9,4,7,6,1,3,2,0,3,3,2,0,6
209,10,4,8,6,4,1,12,5,6,3,6,10,6
210,9,4,7,6,1,10,11,10,3,3,2,0,6
211,9,3,15,0,15,10,11,10,3,3,2,0,6
212,8,7,15,11,0,1,12,5,7,10,0,4,1
213,8,7,15,11,0,3,2,0,7,8,11,5,11
214,9,4,7,6,1,10,11,10,7,10,0,4,2
215,8,7,15,11,0,3,2,0,6,3,6,10,1
216,10,4,8,6,4,1,12,5,4,13,11,9,1
217,10,4,8,6,4,3,2,0,1,11,8,5,11
218,4,5,9,9,15,1,12,5,7,8,11,5,6
219,9,4,7,6,1,3,2,0,7,10,3,4,11
220,8,7,15,11,0,1,12,5,1,11,8,5,2
221,8,7,15,11,0,3,2,0,7,10,3,4,6
222,9,4,7,6,1,1,12,5,6,3,6,10,6
223,9,4,7,6,1,1,12,5,1,11,8,5,6
224,9,4,7,6,1,10,11,10,3,3,2,0,11
225,9,4,7,6,1,10,11,10,7,10,0,4,1
226,10,4,8,6,4,3,2,0,7,8,11,5,1
227,8,7,15,11,0,3,2,0,7,10,0,4,6
228,8,7,15,11,0,1,12,5,4,13,11,9,1
229,4,5,9,9,15,1,12,5,6,3,6,10,1
230,4,5,9,9,15,1,12,5,7,10,0,4,2
231,9,4,7,6,1,3,2,0,4,13,11,9,1
232,9,4,7,6,1,10,11,10,1,11,8,5,6
233,8,7,15,11,0,3,2,0,7,10,0,4,11
234,12,8,4,13,10,3,2,0,3,3,2,0,6
235,9,4,7,6,1,1,12,5,7,8,11,5,2
236,12,8,4,13,10,10,11,10,6,3,6,10,1
237,9,4,7,6,1,10,11,10,5,2,77,3,11
238,9,3,15,0,15,10,11,10,4,13,11,9,1
239,8,7,15,11,0,10,11,10,6,3,6,10,6
240,12,8,4,13,10,3,2,0,6,3,6,10,1
241,4,5,9,9,15,1,12,5,7,10,0,4,6
242,12,8,4,13,10,1,12,5,7,8,11,5,2
243,9,4,7,6,1,3,2,0,6,3,6,10,11
244,4,5,9,9,15,3,2,0,6,3,6,10,11
245,8,7,15,11,0,1,12,5,6,3,6,10,6
246,9,3,15,0,15,1,12,5,7,10,3,4,11
247,4,5,9,9,15,1,12,5,6,3,6,10,6
248,15,2,7,1,6,1,12,5,5,2,77,3,6
249,9,4,7,6,1,3,2,0,3,3,2,0,11
250,9,4,7,6,1,3,2,0,3,3,2,0,1
251,4,5,9,9,15,3,2,0,7,10,0,4,2
252,12,8,4,13,10,3,2,0,5,2,77,3,2
253,10,4,8,6,4,1,12,5,5,2,77,3,1
254,15,2,7,1,6,1,12,5,7,10,0,4,1
255,4,5,9,9,15,10,11,10,7,10,3,4,6
256,8,7,15,11,0,1,12,5,7,10,0,4,1
257,9,4,7,6,1,3,2,0,6,3,6,10,1
258,15,2,7,1,6,1,12,5,7,8,11,5,11
259,15,2,7,1,6,3,2,0,6,3,6,10,2
260,12,8,4,13,10,3,2,0,5,2,77,3,1
261,12,8,4,13,10,3,2,0,5,2,77,3,1
262,12,8,4,13,10,1,12,5,4,13,11,9,11
263,9,4,7,6,1,10,11,10,7,10,3,4,2
264,8,7,15,11,0,10,11,10,7,8,11,5,1
265,10,4,8,6,4,10,11,10,4,13,11,9,1
266,9,4,7,6,1,3,2,0,7,10,3,4,1
267,15,2,7,1,6,3,2,0,7,10,0,4,1
268,9,3,15,0,15,1,12,5,7,8,11,5,2
269,10,4,8,6,4,10,11,10,7,10,0,4,6
270,9,3,15,0,15,1,12,5,3,3,2,0,1
271,9,3,15,0,15,10,11,10,1,11,8,5,11
272,15,2,7,1,6,10,11,10,4,13,11,9,1
273,9,3,15,0,15,1,12,5,4,13,11,9,2
274,4,5,9,9,15,1,12,5,3,3,2,0,2
275,9,3,15,0,15,1,12,5,6,3,6,10,1
276,15,2,7,1,6,10,11,10,5,2,77,3,11
277,15,2,7,1,6,10,11,10,7,8,11,5,2
278,9,4,7,6,1,10,11,10,5,2,77,3,6
279,15,2,7,1,6,1,12,5,3,3,2,0,11
280,12,8,4,13,10,3,2,0,7,10,0,4,11
281,10,4,8,6,4,3,2,0,6,3,6,10,2
282,12,8,4,13,10,10,11,10,7,10,0,4,11
283,12,8,4,13,10,10,11,10,7,8,11,5,1
284,4,5,9,9,15,1,12,5,6,3,6,10,1
285,8,7,15,11,0,10,11,10,7,10,3,4,11
286,9,4,7,6,1,1,12,5,7,8,11,5,6
287,9,3,15,0,15,1,12,5,7,10,3,4,1
288,10,4,8,6,4,1,12,5,3,3,2,0,2
289,10,4,8,6,4,10,11,10,7,10,3,4,6
290,4,5,9,9,15,3,2,0,1,11,8,5,11
291,12,8,4,13,10,3,2,0,5,2,77,3,1
292,9,3,15,0,15,10,11,10,3,3,2,0,2
293,9,3,15,0,15,10,11,10,7,10,0,4,2
294,9,4,7,6,1,1,12,5,5,2,77,3,1
295,15,2,7,1,6,3,2,0,3,3,2,0,2
296,15,2,7,1,6,3,2,0,5,2,77,3,1
297,12,8,4,13,10,1,12,5,5,2,77,3,2
298,9,4,7,6,1,3,2,0,3,3,2,0,6
299,10,4,8,6,4,3,2,0,7,8,11,5,11
300,9,4,7,6,1,10,11,10,3,3,2,0,1
301,9,4,7,6,1,3,2,0,7,8,11,5,1
302,15,2,7,1,6,1,12,5,4,13,11,9,1
303,9,4,7,6,1,10,11,10,6,3,6,10,1
304,9,3,15,0,15,3,2,0,3,3,2,0,11
305,15,2,7,1,6,3,2,0,7,8,11,5,11
306,15,2,7,1,6,10,11,10,6,3,6,10,1
307,4,5,9,9,15,1,12,5,6,3,6,10,11
308,12,8,4,13,10,3,2,0,1,11,8,5,11
309,9,3,15,0,15,3,2,0,5,2,77,3,2
310,10,4,8,6,4,1,12,5,5,2,77,3,6
311,9,3,15,0,15,3,2,0,3,3,2,0,2
312,12,8,4,13,10,1,12,5,1,11,8,5,2
313,12,8,4,13,10,3,2,0,7,10,3,4,2
314,9,4,7,6,1,3,2,0,7,10,0,4,11
315,12,8,4,13,10,10,11,10,4,13,11,9,6
316,9,3,15,0,15,3,2,0,4,13,11,9,6
317,10,4,8,6,4,3,2,0,7,8,11,5,11
318,10,4,8,6,4,1,12,5,5,2,77,3,2
319,10,4,8,6,4,3,2,0,3,3,2,0,6
320,9,3,15,0,15,1,12,5,7,10,3,4,2
321,9,3,15,0,15,3,2,0,3,3,2,0,11
322,10,4,8,6,4,1,12,5,1,11,8,5,2
323,12,8,4,13,10,1,12,5,3,3,2,0,1
324,9,4,7,6,1,1,12,5,7,8,11,5,6
325,4,5,9,9,15,1,12,5,7,10,3,4,1
